id,recipient_email,kind,title,body,entity_type,entity_id,deal_id,read,created_at,pushed_at,url,action_type,action_state,route,due_at,priority,acted_by,acted_at,dedupe_key
5,jonathan@newman.re,stage_migration,Migración de etapa IFRS9 — Etapa 3,Casa Ley — 370 días de mora (Etapa 1→3),counterparty,fb4b436c-a428-44d0-b917-fe872502991f,f68c01d1-95ef-45d8-83d4-97b94e50486e,f,2026-07-08 18:50:31.334964+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
7,jonathan@newman.re,stage_migration,Migración de etapa IFRS9 — Etapa 3,GEEP ( Pepsi ) — 370 días de mora (Etapa 1→3),counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 18:50:31.334964+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
9,jonathan@newman.re,aviso_umbral,Aviso LFPIORPI por umbral,"LaComer — acumulado 6m rebasa 3,210 UMA",counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 18:51:51.255575+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
11,jonathan@newman.re,cod_drift,COD desfasado — calendario del crédito ajustado,GEEP ( Pepsi ) — COD 20d vs suscrito; amortización recalendarizada,counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 20:03:30.53069+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
13,jonathan@newman.re,stage_migration,Migración de etapa IFRS9 — Etapa 2,GEEP ( Pepsi ) — 60 días de mora (Etapa 1→2),counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 20:27:40.416671+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
14,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 59/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 20:30:00.095747+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
15,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 59/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 21:10:00.081169+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
16,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 59/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 21:20:00.08267+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
17,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 59/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 21:30:00.10672+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
19,jonathan@newman.re,proposal_signed,Propuesta firmada,Ing. Cliente firmó la propuesta,counterparty,,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 21:36:15.749796+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
4,jesus@newman.re,stage_migration,Migración de etapa IFRS9 — Etapa 3,Casa Ley — 370 días de mora (Etapa 1→3),counterparty,fb4b436c-a428-44d0-b917-fe872502991f,f68c01d1-95ef-45d8-83d4-97b94e50486e,t,2026-07-08 18:50:31.334964+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
6,jesus@newman.re,stage_migration,Migración de etapa IFRS9 — Etapa 3,GEEP ( Pepsi ) — 370 días de mora (Etapa 1→3),counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,t,2026-07-08 18:50:31.334964+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
8,jesus@newman.re,aviso_umbral,Aviso LFPIORPI por umbral,"LaComer — acumulado 6m rebasa 3,210 UMA",counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,t,2026-07-08 18:51:51.255575+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
10,jesus@newman.re,cod_drift,COD desfasado — calendario del crédito ajustado,GEEP ( Pepsi ) — COD 20d vs suscrito; amortización recalendarizada,counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,t,2026-07-08 20:03:30.53069+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
12,jesus@newman.re,stage_migration,Migración de etapa IFRS9 — Etapa 2,GEEP ( Pepsi ) — 60 días de mora (Etapa 1→2),counterparty,fb4b436c-a428-44d0-b917-fe872502991f,aa870e4f-3f75-4165-a9a8-72b07822d81e,t,2026-07-08 20:27:40.416671+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
18,jesus@newman.re,proposal_signed,Propuesta firmada,Ing. Cliente firmó la propuesta,counterparty,,aa870e4f-3f75-4165-a9a8-72b07822d81e,t,2026-07-08 21:36:15.749796+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
20,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 55/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 21:40:00.071816+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
21,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 56/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 21:50:00.152714+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
22,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 54/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 22:00:00.130959+00,2026-07-08 22:04:14.353727+00,,,none,,,0,,,
24,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 52/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 22:10:00.129548+00,,,,none,,,0,,,
25,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 53/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 22:20:00.107695+00,,,,none,,,0,,,
26,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 53/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 22:30:00.098929+00,,,,none,,,0,,,
27,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 50/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 22:40:00.09303+00,,,,none,,,0,,,
29,jonathan@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,9bafade5-4c4c-4b53-b259-33e6a862450e,,f,2026-07-08 22:48:14.377758+00,,,,none,,,0,,,
31,jonathan@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,0968dc28-805c-451d-8066-9813441c8d19,,f,2026-07-08 22:48:25.818728+00,,,,none,,,0,,,
33,jonathan@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,2e59da3a-ce90-4617-8d56-10fc4014f520,,f,2026-07-08 22:48:31.661471+00,,,,none,,,0,,,
35,jonathan@newman.re,aml_alert,Alerta de operación inusual,"Score 1.05 — ebr_alto, pep_activity, profile_deviation",counterparty,7774b22f-5c02-43fd-9df3-6df8263e1b82,,f,2026-07-08 22:48:38.506473+00,,,,none,,,0,,,
36,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 50/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 22:50:00.092011+00,,,,none,,,0,,,
37,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 50/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 23:00:00.099528+00,,,,none,,,0,,,
38,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 51/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 23:10:00.097099+00,,,,none,,,0,,,
46,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 47/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 23:40:00.118281+00,,,,none,,,0,,,
47,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 48/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 23:50:00.102432+00,,,,none,,,0,,,
48,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 47/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 00:00:00.104526+00,,,,none,,,0,,,
49,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 48/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-09 00:10:00.092952+00,,,,none,,,0,,,
40,jonathan@newman.re,coverage_breach,Cobertura LLCR/PLCR — default,"GEEP ( Pepsi ) — LLCR 0.443 / PLCR 0.997 (SICR prospectivo, sin mora)",counterparty,,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 23:17:34.154653+00,,,,none,,,0,,,
41,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 49/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 23:20:00.097854+00,,,,none,,,0,,,
43,jonathan@newman.re,coverage_breach,Cobertura LLCR/PLCR — default,"GEEP ( Pepsi ) — LLCR 0.794 / PLCR 1.784 (SICR prospectivo, sin mora)",counterparty,,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 23:29:20.246025+00,,,,none,,,0,,,
44,mario@newman.re,coverage_breach,Cobertura LLCR/PLCR — default,"GEEP ( Pepsi ) — LLCR 0.794 / PLCR 1.784 (SICR prospectivo, sin mora)",counterparty,,aa870e4f-3f75-4165-a9a8-72b07822d81e,f,2026-07-08 23:29:20.246025+00,,,,none,,,0,,,
45,agents@newman.re,alert,CFE account near permaban,Shared CFE account has 48/10 services registered (leak). Manual cleanup needed.,cfe_health,,,f,2026-07-08 23:30:00.235747+00,,,,none,,,0,,,
