id,event_type,entity_type,entity_id,payload,created_at,processed_at
26cd8e63-a780-47e8-a34c-7a3e75f9d9af,stage_enter,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""stage"": ""lead"", ""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e""}",2026-07-08 20:16:28.631003+00,2026-07-08 20:17:00.103256+00
1b926d05-74ab-4ad5-bbde-d8b47ea77043,stage3_migration,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e"", ""ecl_stage"": 2}",2026-07-08 20:27:40.416671+00,2026-07-08 20:28:00.104036+00
78ea1109-402d-44ef-9a70-4819052a2444,stage_enter,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""stage"": ""forwards"", ""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e""}",2026-07-08 21:35:58.277276+00,2026-07-08 21:36:00.066913+00
21dd94ec-9afe-4bef-859a-5634eb69bd66,stage_enter,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""stage"": ""in_signing"", ""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e""}",2026-07-08 21:36:15.749796+00,2026-07-08 21:37:00.082012+00
766f8949-8611-47ba-bce2-88759c853cb5,stage_enter,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""stage"": ""lead"", ""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e""}",2026-07-08 21:36:15.879145+00,2026-07-08 21:37:00.082012+00
083b2c65-e0a0-4356-8029-0a8dde61201b,stage_enter,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""stage"": ""forwards"", ""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e""}",2026-07-08 22:04:14.188323+00,2026-07-08 22:05:00.138964+00
fb1d7959-d31e-4761-9b98-a684746798c3,stage_enter,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""stage"": ""lead"", ""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e""}",2026-07-08 22:04:14.489409+00,2026-07-08 22:05:00.138964+00
4688b740-3834-4956-98ce-7b3fc486ca8b,stage3_migration,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e"", ""ecl_stage"": 2}",2026-07-08 23:17:34.154653+00,2026-07-08 23:18:00.073989+00
f5b7c254-dd22-43b9-929e-66b94755994c,stage3_migration,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e"", ""ecl_stage"": 2}",2026-07-08 23:29:20.246025+00,2026-07-08 23:30:00.229249+00
f08f0595-e8cc-48e3-9911-10e33bcc5a96,stage3_migration,deal,aa870e4f-3f75-4165-a9a8-72b07822d81e,"{""deal_id"": ""aa870e4f-3f75-4165-a9a8-72b07822d81e"", ""ecl_stage"": 3}",2026-07-08 23:46:44.394317+00,2026-07-08 23:47:00.081931+00
5962c97e-4632-411c-9532-27f3a6448f8d,stage_enter,deal,3104e4bf-0851-47c0-8465-48c109e334c0,"{""stage"": ""earlies"", ""deal_id"": ""3104e4bf-0851-47c0-8465-48c109e334c0""}",2026-07-09 00:15:53.884211+00,2026-07-09 00:16:00.033909+00
