id,account_id,name,email,phone,title,status,monday_item_id,created_at,updated_at,company,department,mobile,address,city,state,country,website,birthday,notes,labels,source,google_resource_name,custom,description,company_id,owner_id,enrich_pending,enrich_asked_at
02419cc8-3043-4fe5-861b-e73de93a09a0,,PRODUCTOS CHACHITOS SA DE CV,,whatsapp:+5215519888845,,,,2026-07-08 17:19:58.016264+00,2026-07-08 17:19:58.016264+00,,,,,,,,,,,,whatsapp,,{},,,,f,
5fe282e1-aaa3-423e-9827-ce49fe5f4a4d,,Ablewise LLC,info@ablewise.com,+861056390000,,,,2026-07-08 13:55:29.902442+00,2026-07-08 17:26:51.657509+00,Ablewise LLC,,,,,,United States,https://www.ablewise.com,,,"{Other,""United States""}",google,,{},"Online classifieds and business marketplace platform, not solar-specific.",,,f,
1500fd36-5be0-4231-a903-4571616a6fc3,,Grace Solar,sales@gracesolar.com,+86-592-3671838 +86-19859290068,,,,2026-07-08 13:56:12.59272+00,2026-07-08 15:37:37.303214+00,Grace Solar,,,,,,China,https://www.gracesolar.com,,,"{""Module Mfr"",China,""Solar PV""}",google,,{},Chinese manufacturer of solar PV modules.,,,f,
c7c36cc9-0126-40e2-9399-b8cbd2c5a669,,UNIV ANAHUAC DE CANCUN S C,,whatsapp:+41789349500,,,,2026-07-08 15:29:39.624776+00,2026-07-08 15:38:38.327422+00,,,,,,,,,,,"{Other,Unknown}",whatsapp,,{},Solar/energy industry contact; details not auto-classified.,,,f,
d9178721-40ed-4943-b020-2c58723d5989,,Shenzhen Ltd.,,+86 0755-23576245,,,,2026-07-08 13:57:03.844702+00,2026-07-08 15:37:37.303214+00,"Shenzhen DeepPower Technology Energy Co., Ltd.",,,,Shenzhen,,China,,,,"{Battery/Storage,China}",google,,{},Develops battery and power storage technology.,,,f,
00a82aee-c461-4700-a79f-7f642f084dd1,,Solenergi AS,prosjekt@fusen.no,+4740038736,,,,2026-07-08 13:57:12.577837+00,2026-07-08 15:37:37.303214+00,Solenergi FUSen AS,,,,,,Norway,https://www.fusen.no,,,"{EPC/Installer,Norway,""Solar PV""}",google,,{},Norwegian solar energy installation company.,,,f,
001aaaa5-c641-4294-9174-d0b70c8b1b53,,dSPACE KG,info@dspace.de,+49525116380,,,,2026-07-08 13:55:54.987925+00,2026-07-08 15:37:37.303214+00,dSPACE Group SE &amp; Co. KG,,,,Paderborn,,Germany,https://www.dspace.com,,,"{Software,Germany}",google,,{},Develops simulation and validation software/hardware for embedded systems including e-mobility.,,,f,
001c2246-23f2-4045-9e3a-81694d71e758,,DF SA,export@dfelectric.es,+34 934 750864,,,,2026-07-08 13:55:52.941671+00,2026-07-08 15:37:37.303214+00,DF ELECTRIC SA,,,,,,Spain,http://www.dfelectric.es,,,"{Cable/BOS,Spain}",google,,{},Spanish manufacturer of electrical equipment and components.,,,f,
002f30a0-9dd1-40fd-a56d-81dee80b59bb,,Kempower,info@kempower.com,+358290021900,,,,2026-07-08 13:56:31.449052+00,2026-07-08 15:37:37.303214+00,Kempower,,,,Lahti,,Finland,https://www.kempower.com/,,,"{Other,Finland,""EV Charging""}",google,,{},Finnish manufacturer of DC fast chargers for electric vehicles.,,,f,
005eca1a-899f-49f2-b3d6-e198ced199ce,,Jiangyin Ltd,sales@cnyoju.com,+86 138 6163 9539,,,,2026-07-08 13:56:29.135633+00,2026-07-08 15:37:37.303214+00,"Jiangyin Youju Machinery Equipment Co.,Ltd",,,,Jiangyin,Jiangsu,China,https://www.cnyoju.com,,,"{Other,China}",google,,{},"Chinese manufacturer of machinery equipment, including solar production equipment.",,,f,
0070288a-bc89-483b-b8cd-b9e12996b6a6,,Stercom GmbH,info@stercom.de,+49 8020 339960,,,,2026-07-08 13:57:15.652656+00,2026-07-08 15:37:37.303214+00,Stercom Power Solutions GmbH,,,,,,Germany,https://www.stercom.de,,,"{Other,Germany}",google,,{},German manufacturer of power supplies and power electronics.,,,f,
0081cecf-7557-40f4-add3-c247fe635801,,EWS GmbH,office@ews-energy.com,+43774420141,,,,2026-07-08 13:56:06.155804+00,2026-07-08 15:37:37.303214+00,EWS EPC GmbH,,,,,,Germany,https://www.ews-energy.com,,,"{EPC/Installer,Germany,""Solar PV""}",google,,{},"German engineering, procurement and construction company for energy projects.",,,f,
008974ac-3fb3-41de-8ec0-9a51fc66f429,,ADITES GmbH,vertrieb@adites.de,+4916094942623,,,,2026-07-08 13:55:30.729908+00,2026-07-08 15:37:37.303214+00,ADITES Hanse GmbH,,,,,,Germany,https://www.photovoltaik-hanse.de,,,"{EPC/Installer,Germany,""Solar PV""}",google,,{},German photovoltaic installation company.,,,f,
00edd620-a19d-46c8-a52f-c9e723376ba0,,PUBLIC UKRAINE,office@aseu.org.ua,+380380937822033,,,,2026-07-08 13:56:52.679964+00,2026-07-08 15:37:37.303214+00,PUBLIC UNION SOLAR ENERGY ASSOCIATION OF UKRAINE,,,,,,Ukraine,https://aseu.org.ua/,,,"{Association,Ukraine,""Solar PV""}",google,,{},Ukrainian public association promoting solar energy.,,,f,
0105e55b-eca6-48e8-9519-8270ea9a10a6,,Jiangxi Ltd,,,,,,2026-07-08 13:56:28.564994+00,2026-07-08 15:37:37.303214+00,"Jiangxi Gongtu New Energy Co., Ltd",,,,,Jiangxi,China,https://gtsolar.en.alibaba.com,,,"{Distributor,China,""Solar PV""}",google,,{},Chinese trading company selling solar products via Alibaba.,,,f,
01381943-2f35-4318-9af2-a1a1896bba8a,,CNBM LTD.,cnbmzj@cnhdi.com.cn,+86-0571-85067588,,,,2026-07-08 13:55:48.658882+00,2026-07-08 15:37:37.303214+00,"CNBM ZHEJIANG MATERIAL CO., LTD.",,,,,Zhejiang,China,,,,"{Other,China}",google,,{},"Chinese building material company, part of CNBM group.",,,f,
0156771d-bde3-45aa-b041-1f0e04c5c703,,ACBEL INC.,emma_hung@acbel.com,+88626217672,,,,2026-07-08 13:55:30.117166+00,2026-07-08 15:37:37.303214+00,ACBEL POLYTECH INC.,,,,,,Taiwan,https://www.acbel.com.tw/en,,,"{Other,Taiwan}",google,,{},Taiwanese manufacturer of power supplies and power electronics.,,,f,
