name|slug|pid|did|kw|type
Hotel Yori Inn|hotel-yori-inn|5204407|10368213|231|hotel
Alfa Montes|alfa-montes|5059574|10021034|10|micro-rooftop
Casa Santiago|casa-santiago|5120874|10167658|11|residential
Tiendas 3B-7664|tiendas-3b-7664|5169365|10283417|17|retail-chain
O'Reilly Autopartes|oreilly-autopartes|5192979|10340682|39|auto-retail
Calimax Californias|calimax-californias|5046890|9990693|49|grocery-retail
Up Fitness|up-fitness|5039358|9973145|104|gym
Centro Joyero Guadalajara|centro-joyero-guadalajara|5198960|10354886|123|commercial
Casino Solaz Delicias|casino-solaz-delicias|4927158|9698695|182|casino
Universidad Anahuac Veracruz|universidad-anahuac-veracruz|5162033|10265270|200|university
Pinnacle Aerospace|pinnacle-aerospace|5201146|10360314|204|aerospace
Smart Plastics de Mexico|smart-plastics|5140235|10212884|230|plastics-industrial
Africam Safari|africam-safari|5095225|10107528|328|tourism
Tiendas 3B - Cedis|tiendas-3b-cedis|5176017|10299499|327|distribution-center
Universidad Anahuac Queretaro|universidad-anahuac-queretaro|5100541|10120523|430|university
EQUIALUM|equialum|5148247|10231684|481|aluminum-industrial
Hotel Tesoro Manzanillo|hotel-tesoro-manzanillo|5129801|10188451|488|hotel
Foro Sol|foro-sol|5083842|10079091|549|venue
Kotobukiya Treves de Mexico|kotobukiya-treves|5097972|10114107|583|auto-parts
Conservas del Norte|conservas-del-norte|5153960|10245473|588|food-processing
YAQUI|yaqui|5153845|10245170|701|ground-mount
Productores Pecuarios Petatlan|productores-pecuarios-petatlan|5108526|10139462|725|livestock-agri
Leche 19 Hermanos|leche-19-hermanos|5175782|10299235|2498|dairy
Molex de Mexico|molex-de-mexico|5157451|10254196|1138|electronics-industrial
Alberta Calgary|alberta-calgary|5160904|10262459|1004|foreign-cold-climate
Kuehne & Nagel|kuehne-nagel|5070757|10047564|2108|logistics
OCESA - Hipodromo|ocesa-hipodromo|5083896|10090146|5005|venue-mega
Grupo Frisa|grupo-frisa|5150786|10237897|7001|ground-mount-mw
TMEX Industrial Park|tmex-industrial-park|5087501|10088351|10004|industrial-park
Frutos de Huerta Real|frutos-de-huerta-real|4799694|9389772|778|agri
